cipcode,label_cipcode
0,All Instructional Programs
3,"Natural Resources and
Conservation"
5,"Area, Ethnic, Cultural,
Gender, and Group Studies"
9,"Communication, Journalism,
and Related Programs"
11,"Computer and Information
Sciences and Support
Services"
13,Education
14,Engineering
16,"Foreign Languages,
Literatures, and Linguistics"
19,"Family and Consumer
Sciences/Human Sciences"
22,"Legal Professions and
Studies"
23,"English Language and
Literature/Letters"
25,Library Science
26,"Biological and Biomedical
Sciences"
27,Mathematics and Statistics
30,Multi/Interdisciplinary Studies
31,"Parks, Recreation, Leisure,
Fitness, and Kinesiology"
38,"Philosophy and Religious
Studies"
40,Physical Sciences
42,Psychology
43,"Homeland Security, Law
Enforcement, Firefighting and
Related Protective Services"
44,"Public Administration and
Social Service Professions"
45,Social Sciences
50,Visual and Performing Arts
51,"Health Professions and
Related Programs"
52,"Business, Management,
Marketing, and Related
Support Services"
54,History
24,"Liberal Arts and Sciences,
General Studies and
Humanities"
3.01,"Natural Resources
Conservation and Research"
5.01,Area Studies
5.02,"Ethnic, Cultural Minority,
Gender, and Group Studies"
9.01,"Communication and Media
Studies"
9.04,Journalism
9.07,"Radio, Television, and Digital
Communication"
9.09,"Public Relations, Advertising,
and Applied Communication"
11.01,"Computer and Information
Sciences, General"
13.04,"Educational Administration
and Supervision"
13.05,"Educational/Instructional
Media Design"
13.06,"Educational Assessment,
Evaluation, and Research"
13.1,"Special Education and
Teaching"
13.11,"Student Counseling and
Personnel Services"
13.12,"Teacher Education and
Professional Development,
Specific Levels and Methods"
13.13,"Teacher Education and
Professional Development,
Specific Subject Areas"
13.14,"Teaching English or French
as a Second or Foreign
Language"
14.01,"Engineering, General"
14.02,"Aerospace, Aeronautical, and
Astronautical/Space
Engineering"
14.04,Architectural Engineering
14.07,Chemical Engineering
14.08,Civil Engineering
14.1,"Electrical, Electronics, and
Communications Engineering"
14.11,Engineering Mechanics
14.14,"Environmental/Environmental
Health Engineering"
14.18,Materials Engineering
14.19,Mechanical Engineering
14.2,Metallurgical Engineering
14.33,Construction Engineering
14.35,Industrial Engineering
16.01,"Linguistic, Comparative, and
Related Language Studies
and Services"
16.04,"Slavic, Baltic and Albanian
Languages, Literatures, and
Linguistics"
16.05,"Germanic Languages,
Literatures, and Linguistics"
16.09,"Romance Languages,
Literatures, and Linguistics"
16.12,"Classics and Classical
Languages, Literatures, and
Linguistics"
19.01,"Family and Consumer
Sciences/Human Sciences,
General"
19.04,"Family and Consumer
Economics and Related
Studies"
19.05,"Foods, Nutrition, and Related
Services"
19.07,"Human Development, Family
Studies, and Related Services"
19.09,Apparel and Textiles
22.01,Law
22.02,"Legal Research and
Advanced Professional
Studies"
23.01,"English Language and
Literature, General"
23.13,"Rhetoric and
Composition/Writing Studies"
25.01,"Library Science and
Administration"
26.01,"Biology, General"
26.04,"Cell/Cellular Biology and
Anatomical Sciences"
26.05,"Microbiological Sciences and
Immunology"
26.13,"Ecology, Evolution,
Systematics, and Population
Biology"
27.01,Mathematics
27.03,Applied Mathematics
27.05,Statistics
30,"Multi-/Interdisciplinary
Studies, General"
30.99,"Multi/Interdisciplinary Studies,
Other"
31.05,"Sports, Kinesiology, and
Physical Education/Fitness"
38.01,Philosophy
38.02,Religion/Religious Studies
40.05,Chemistry
40.06,"Geological and Earth
Sciences/Geosciences"
40.08,Physics
40.1,Materials Sciences
42.01,"Psychology, General"
42.28,"Clinical, Counseling and
Applied Psychology"
43.01,"Criminal Justice and
Corrections"
44.04,Public Administration
44.07,Social Work
45.02,Anthropology
45.04,Criminology
45.07,Geography and Cartography
45.09,"International Relations and
National Security Studies"
45.1,"Political Science and
Government"
45.11,Sociology
50.03,Dance
50.04,Design and Applied Arts
50.05,"Drama/Theatre Arts and
Stagecraft"
50.07,Fine and Studio Arts
50.09,Music
51.02,"Communication Disorders
Sciences and Services"
51.07,"Health and Medical
Administrative Services"
51.09,"Allied Health Diagnostic,
Intervention, and Treatment
Professions"
51.1,"Clinical/Medical Laboratory
Science/Research and Allied
Professions"
51.15,"Mental and Social Health
Services and Allied
Professions"
51.22,Public Health
51.23,"Rehabilitation and
Therapeutic Professions"
51.31,"Dietetics and Clinical Nutrition
Services"
51.38,"Registered Nursing, Nursing
Administration, Nursing
Research and Clinical Nursing"
51.99,"Health Professions and
Related Clinical Sciences,
Other"
52.02,"Business Administration,
Management and Operations"
52.03,"Accounting and Related
Services"
52.06,"Business/Managerial
Economics"
52.08,"Finance and Financial
Management Services"
52.09,"Hospitality
Administration/Management"
52.12,"Management Information
Systems and Services"
52.13,"Management Sciences and
Quantitative Methods"
52.14,Marketing
52.16,Taxation
54.01,History
11.1,"Computer/Information
Technology Administration
and Management"
13.01,"Education, General"
13.03,Curriculum and Instruction
14.05,"Biomedical/Medical
Engineering"
14.09,Computer Engineering
14.47,"Electrical and Computer
Engineering"
14.99,"Engineering, Other"
24.01,"Liberal Arts and Sciences,
General Studies and
Humanities"
26.02,"Biochemistry, Biophysics and
Molecular Biology"
26.08,Genetics
26.09,"Physiology, Pathology and
Related Sciences"
26.1,Pharmacology and Toxicology
26.11,"Biomathematics,
Bioinformatics, and
Computational Biology"
26.12,Biotechnology
26.15,"Neurobiology and
Neurosciences"
30.19,Nutrition Sciences
30.23,"Intercultural/Multicultural and
Diversity Studies"
43.04,"Security Science and
Technology"
45.99,"Social Sciences, Other"
51,"Health Services/Allied
Health/Health Sciences,
General"
51.04,Dentistry
51.05,"Advanced/Graduate Dentistry
and Oral Sciences"
51.06,"Dental Support Services and
Allied Professions"
51.12,Medicine
51.17,Optometry
52.1,"Human Resources
Management and Services"
52.18,"General Sales, Merchandising
and Related Marketing
Operations"
11.08,"Computer Software and
Media Applications"
30.15,"Science, Technology and
Society"
40.04,"Atmospheric Sciences and
Meteorology"
40.99,"Physical Sciences, Other"
1,"Agricultural/Animal/Plant/Veterinary
Science and Related Fields"
4,Architecture and Related Services
5,"Area, Ethnic, Cultural, Gender, and
Group Studies"
9,"Communication, Journalism, and
Related Programs"
10,"Communications
Technologies/Technicians and
Support Services"
11,"Computer and Information Sciences
and Support Services"
15,"Engineering/Engineering-Related
Technologies/Technicians"
16,"Foreign Languages, Literatures,
and Linguistics"
22,Legal Professions and Studies
24,"Liberal Arts and Sciences, General
Studies and Humanities"
26,Biological and Biomedical Sciences
31,"Parks, Recreation, Leisure, Fitness,
and Kinesiology"
38,Philosophy and Religious Studies
41,Science Technologies/Technicians
44,"Public Administration and Social
Service Professions"
49,"Transportation and Materials
Moving"
51,"Health Professions and Related
Programs"
52,"Business, Management, Marketing,
and Related Support Services"
1.01,"Agricultural Business and
Management"
3.01,"Natural Resources Conservation
and Research"
3.02,"Environmental/Natural Resources
Management and Policy"
4.02,Architecture
4.03,"City/Urban, Community, and
Regional Planning"
4.04,Environmental Design
4.05,Interior Architecture
4.06,Landscape Architecture
4.09,"Architectural Sciences and
Technology"
4.1,Real Estate Development
4.99,"Architecture and Related Services,
Other"
5.02,"Ethnic, Cultural Minority, Gender,
and Group Studies"
9.01,Communication and Media Studies
9.09,"Public Relations, Advertising, and
Applied Communication"
9.99,"Communication, Journalism, and
Related Programs, Other"
10.03,Graphic Communications
11.05,Computer Systems Analysis
11.07,Computer Science
11.09,"Computer Systems Networking and
Telecommunications"
11.1,"Computer/Information Technology
Administration and Management"
11.99,"Computer and Information Sciences
and Support Services, Other"
13.02,"Bilingual, Multilingual, and
Multicultural Education"
13.04,"Educational Administration and
Supervision"
13.05,"Educational/Instructional Media
Design"
13.09,"Social and Philosophical
Foundations of Education"
13.1,Special Education and Teaching
13.11,"Student Counseling and Personnel
Services"
13.12,"Teacher Education and
Professional Development, Specific
Levels and Methods"
13.13,"Teacher Education and
Professional Development, Specific
Subject Areas"
13.14,"Teaching English or French as a
Second or Foreign Language"
13.99,"Education, Other"
14.02,"Aerospace, Aeronautical, and
Astronautical/Space Engineering"
14.05,Biomedical/Medical Engineering
14.12,Engineering Physics
14.13,Engineering Science
14.27,Systems Engineering
14.36,Manufacturing Engineering
14.42,"Mechatronics, Robotics, and
Automation Engineering"
14.45,Biological/Biosystems Engineering
15.03,"Electrical/Electronic Engineering
Technologies/Technicians"
15.04,"Electromechanical
Technologies/Technicians"
15.06,"Industrial Production
Technologies/Technicians"
15.08,"Mechanical Engineering Related
Technologies/Technicians"
15.1,"Construction Engineering
Technology/Technician"
15.12,"Computer Engineering
Technologies/Technicians"
15.15,Engineering-Related Fields
15.16,Nanotechnology
15.17,"Energy Systems
Technologies/Technicians"
15.99,"Engineering/Engineering-Related
Technologies/Technicians, Other"
16.01,"Linguistic, Comparative, and
Related Language Studies and
Services"
16.03,"East Asian Languages, Literatures,
and Linguistics"
16.05,"Germanic Languages, Literatures,
and Linguistics"
16.09,"Romance Languages, Literatures,
and Linguistics"
16.99,"Foreign Languages, Literatures,
and Linguistics, Other"
19.04,"Family and Consumer Economics
and Related Studies"
22,Non-Professional Legal Studies
22.02,"Legal Research and Advanced
Professional Studies"
22.99,"Legal Professions and Studies,
Other"
23.01,"English Language and Literature,
General"
23.13,"Rhetoric and Composition/Writing
Studies"
24.01,"Liberal Arts and Sciences, General
Studies and Humanities"
26.03,Botany/Plant Biology
26.07,Zoology/Animal Biology
26.11,"Biomathematics, Bioinformatics,
and Computational Biology"
26.13,"Ecology, Evolution, Systematics,
and Population Biology"
26.15,Neurobiology and Neurosciences
26.99,"Biological and Biomedical Sciences,
Other"
30,"Multi-/Interdisciplinary Studies,
General"
30.14,Museology/Museum Studies
30.15,"Science, Technology and Society"
30.18,Natural Sciences
30.2,International/Globalization Studies
30.25,Cognitive Science
30.26,"Cultural Studies/Critical Theory and
Analysis"
30.31,Human Computer Interaction
30.99,"Multi/Interdisciplinary Studies, Other"
31.01,"Parks, Recreation, and Leisure
Studies"
31.05,"Sports, Kinesiology, and Physical
Education/Fitness"
38,"Philosophy and Religious Studies,
General"
40.01,"Physical Sciences, General"
40.02,Astronomy and Astrophysics
41.99,"Science Technologies/Technicians,
Other"
42.28,"Clinical, Counseling and Applied
Psychology"
43.01,Criminal Justice and Corrections
43.03,Homeland Security
44.02,"Community Organization and
Advocacy"
44.05,Public Policy Analysis
45.01,"Social Sciences, General"
45.06,Economics
45.09,"International Relations and National
Security Studies"
45.1,Political Science and Government
45.12,Urban Studies/Affairs
49.01,Air Transportation
50.01,"Visual and Performing Arts, General"
50.05,Drama/Theatre Arts and Stagecraft
50.06,Film/Video and Photographic Arts
50.1,"Arts, Entertainment, and Media
Management"
51,"Health Services/Allied Health/Health
Sciences, General"
51.02,"Communication Disorders Sciences
and Services"
51.07,"Health and Medical Administrative
Services"
51.11,"Health/Medical Preparatory
Programs"
51.15,"Mental and Social Health Services
and Allied Professions"
51.23,"Rehabilitation and Therapeutic
Professions"
51.38,"Registered Nursing, Nursing
Administration, Nursing Research
and Clinical Nursing"
51.99,"Health Professions and Related
Clinical Sciences, Other"
52.01,"Business/Commerce, General"
52.03,Accounting and Related Services
52.07,"Entrepreneurial and Small Business
Operations"
52.08,"Finance and Financial Management
Services"
52.11,International Business
52.15,Real Estate
52.2,Construction Management
52.99,"Business, Management, Marketing,
and Related Support Services,
Other"
3.05,Forestry
3.06,"Wildlife and Wildlands Science and
Management"
23.99,"English Language and
Literature/Letters, Other"
26.09,"Physiology, Pathology and Related
Sciences"
30.01,Biological and Physical Sciences
30.11,Gerontology
30.13,Medieval and Renaissance Studies
30.17,Behavioral Sciences
30.33,Sustainability Studies
31.03,"Parks, Recreation, and Leisure
Facilities Management"
51.06,"Dental Support Services and Allied
Professions"
52.06,Business/Managerial Economics
52.1,"Human Resources Management
and Services"
52.12,"Management Information Systems
and Services"
52.19,"Specialized Sales, Merchandising
and  Marketing Operations"
1,"Agriculture, General"
1.09,Animal Sciences
1.11,Plant Sciences
1.13,"Agriculture/Veterinary Preparatory
Programs"
1.99,"Agricultural/Animal/Plant/Veterinary
Science and Related Fields, Other"
11.08,"Computer Software and Media
Applications"
14.03,Agricultural Engineering
14.21,Mining and Mineral Engineering
14.23,Nuclear Engineering
14.39,Geological/Geophysical Engineering
16.11,"Middle/Near Eastern and Semitic
Languages, Literatures, and
Linguistics"
16.12,"Classics and Classical Languages,
Literatures, and Linguistics"
25.01,Library Science and Administration
42.27,"Research and Experimental
Psychology"
51.14,"Medical Clinical Sciences/Graduate
Medical Studies"
51.2,"Pharmacy, Pharmaceutical
Sciences, and Administration"
16,"Foreign Languages, Literatures, and
Linguistics"
23,English Language and Literature/Letters
31,"Parks, Recreation, Leisure, Fitness, and
Kinesiology"
51,Health Professions and Related Programs
52,"Business, Management, Marketing, and
Related Support Services"
9,"Communication, Journalism, and Related
Programs"
11,"Computer and Information Sciences and
Support Services"
12,"Culinary, Entertainment, and Personal
Services"
19,"Family and Consumer Sciences/Human
Sciences"
43,"Homeland Security, Law Enforcement,
Firefighting and Related Protective
Services"
46,Construction Trades
47,"Mechanic and Repair
Technologies/Technicians"
5,"Area, Ethnic, Cultural, Gender, and Group
Studies"
44,"Public Administration and Social Service
Professions"
3,Natural Resources and Conservation
10,"Communications
Technologies/Technicians and Support
Services"
48,Precision Production
49,Transportation and Materials Moving
36,Leisure and Recreational Activities
32,"Basic Skills and Developmental/Remedial
Education"
13.12,"Teacher Education and Professional
Development, Specific Levels and
Methods"
13.13,"Teacher Education and Professional
Development, Specific Subject Areas"
16.09,"Romance Languages, Literatures, and
Linguistics"
23.01,"English Language and Literature, General"
23.13,Rhetoric and Composition/Writing Studies
42.99,"Psychology, Other"
51.32,"Health Professions Education, Ethics, and
Humanities"
51.38,"Registered Nursing, Nursing
Administration, Nursing Research and
Clinical Nursing"
52.02,"Business Administration, Management
and Operations"
1.83,"Veterinary/Animal Health
Technologies/Technicians"
11.01,"Computer and Information Sciences,
General"
11.06,Data Entry/Microcomputer Applications
11.99,"Computer and Information Sciences and
Support Services, Other"
12.03,Funeral Service and Mortuary Science
12.05,Culinary Arts and Related Services
15,"Engineering Technologies/Technicians,
General"
15.01,"Architectural Engineering
Technologies/Technicians"
15.05,"Environmental Control
Technologies/Technicians"
16.01,"Linguistic, Comparative, and Related
Language Studies and Services"
19.07,"Human Development, Family Studies, and
Related Services"
22.03,Legal Support Services
41.99,"Science Technologies/Technicians, Other"
43.02,Fire Protection
43.04,Security Science and Technology
46,"Construction Trades, General"
46.02,Carpenters
46.04,"Building/Construction Finishing,
Management, and Inspection"
47.06,"Vehicle Maintenance and Repair
Technologies/Technicians"
51.08,"Allied Health and Medical Assisting
Services"
51.09,"Allied Health Diagnostic, Intervention, and
Treatment Professions"
51.1,"Clinical/Medical Laboratory
Science/Research and Allied Professions"
51.26,Health Aides/Attendants/Orderlies
51.39,"Practical Nursing, Vocational Nursing and
Nursing Assistants"
51.99,"Health Professions and Related Clinical
Sciences, Other"
52.04,"Business Operations Support and
Assistant Services"
52.1,"Human Resources Management and
Services"
52.12,"Management Information Systems and
Services"
52.18,"General Sales, Merchandising and
Related Marketing Operations"
52.19,"Specialized Sales, Merchandising and
Marketing Operations"
14.14,"Environmental/Environmental Health
Engineering"
14.25,Petroleum Engineering
5.02,"Ethnic, Cultural Minority, Gender, and
Group Studies"
13.05,Educational/Instructional Media Design
13.06,"Educational Assessment, Evaluation, and
Research"
16.05,"Germanic Languages, Literatures, and
Linguistics"
16.16,American Sign Language
26.99,"Biological and Biomedical Sciences, Other"
27.99,"Mathematics and Statistics, Other"
31.03,"Parks, Recreation, and Leisure Facilities
Management"
44,"Human Services, General"
51.02,"Communication Disorders Sciences and
Services"
51.31,Dietetics and Clinical Nutrition Services
1.01,Agricultural Business and Management
1.05,Agricultural and Domestic Animal Services
1.06,"Applied Horticulture and Horticultural
Business Services"
1.08,Agricultural Public Services
1.12,Soil Sciences
1.8,Veterinary Medicine
1.81,"Veterinary Biomedical and Clinical
Sciences"
3.01,"Natural Resources Conservation and
Research"
3.03,"Fishing and Fisheries Sciences and
Management"
9.09,"Public Relations, Advertising, and Applied
Communication"
11.04,Information Science/Studies
19.01,"Family and Consumer Sciences/Human
Sciences, General"
19.02,"Family and Consumer Sciences/Human
Sciences Business Services"
19.04,"Family and Consumer Economics and
Related Studies"
19.05,"Foods, Nutrition, and Related Services"
26.02,"Biochemistry, Biophysics and Molecular
Biology"
26.04,"Cell/Cellular Biology and Anatomical
Sciences"
26.05,Microbiological Sciences and Immunology
26.13,"Ecology, Evolution, Systematics, and
Population Biology"
31.99,"Parks, Recreation, Leisure, Fitness, and
Kinesiology, Other"
40.04,Atmospheric Sciences and Meteorology
52.09,Hospitality Administration/Management
31.01,"Parks, Recreation, and Leisure Studies"
31.06,Outdoor Education
1.03,Agricultural Production Operations
1.1,Food Science and Technology
11.03,Data Processing
12.04,"Cosmetology and Related Personal
Grooming Services"
10.01,"Communications
Technologies/Technicians"
10.02,"Audiovisual Communications
Technologies/Technicians"
46.03,"Electrical and Power Transmission
Installers"
48.05,Precision Metal Working
49.03,Marine Transportation
52.17,Insurance
3.99,"Natural Resources and Conservation,
Other"
15.02,"Civil Engineering
Technologies/Technicians"
15.09,"Mining and Petroleum
Technologies/Technicians"
15.11,"Engineering-Related
Technologies/Technicians"
46.99,"Construction Trades, Other"
51.35,"Somatic Bodywork and Related
Therapeutic Services"
4.99,"Architecture and Related Services, Other"
42.27,Research and Experimental Psychology
51.27,Medical Illustration and Informatics
51.33,"Alternative and Complementary Medicine
and Medical Systems"
1.02,Agricultural Mechanization
51.15,"Mental and Social Health Services and
Allied Professions"
14.42,"Mechatronics, Robotics, and Automation
Engineering"
15.07,"Quality Control and Safety
Technologies/Technicians"
15.13,"Drafting/Design Engineering
Technologies/Technicians"
47.03,"Heavy/Industrial Equipment Maintenance
Technologies/Technicians"
47.04,"Precision Systems Maintenance and
Repair Technologies/Technicians"
47.99,"Mechanic and Repair
Technologies/Technicians, Other"
48.07,Woodworking
49.02,Ground Transportation
13.02,"Bilingual, Multilingual, and Multicultural
Education"
13.09,"Social and Philosophical Foundations of
Education"
14.43,Biochemical Engineering
16.03,"East Asian Languages, Literatures, and
Linguistics"
50.99,"Visual and Performing Arts, Other"
52.13,"Management Sciences and Quantitative
Methods"
11.02,Computer Programming
23.99,"English Language and Literature/Letters,
Other"
30.12,Historic Preservation and Conservation
4.03,"City/Urban, Community, and Regional
Planning"
4.09,Architectural Sciences and Technology
26.11,"Biomathematics, Bioinformatics, and
Computational Biology"
44.99,"Public Administration and Social Service
Professions, Other"
51.05,"Advanced/Graduate Dentistry and Oral
Sciences"
51.2,"Pharmacy, Pharmaceutical Sciences, and
Administration"
30,"Multi-/Interdisciplinary Studies, General"
19.06,Housing and Human Environments
46.01,Mason/Masonry
46.05,"Plumbing and Related Water Supply
Services"
47.01,"Electrical/Electronics Maintenance and
Repair Technologies/Technicians"
47.02,"Heating, Air Conditioning, Ventilation and
Refrigeration Maintenance
Technology/Technician (HAC, HACR,
HVAC, HVACR)"
51.18,"Ophthalmic and Optometric Support
Services and Allied Professions"
13.15,Teaching Assistants/Aides
13.14,"Teaching English or French as a Second
or Foreign Language"
49.99,"Transportation and Materials Moving,
Other"
43.99,"Homeland Security, Law Enforcement,
Firefighting and Related Protective
Services, Other"
48.03,Leatherworking and Upholstery
36.01,Leisure and Recreational Activities
32.01,"Basic Skills and Developmental/Remedial
Education"
25.03,Library and Archives Assisting
41.01,"Biology/Biotechnology
Technologies/Technicians"
52.99,"Business, Management, Marketing, and
Related Support Services, Other"
12,"Culinary, Entertainment, and
Personal Services"
32,"Basic Skills and
Developmental/Remedial Education"
39,Theology and Religious Vocations
38.99,"Philosophy and Religious Studies,
Other"
15,"Engineering
Technologies/Technicians, General"
30.3,Computational Science
51.32,"Health Professions Education,
Ethics, and Humanities"
45.13,Sociology and Anthropology
43.99,"Homeland Security, Law
Enforcement, Firefighting and
Related Protective Services, Other"
51,"Health Services/Allied
Health/Health Sciences, General"
32.01,"Basic Skills and
Developmental/Remedial Education"
45.03,Archeology
30.39,Economics and Computer Science
44.99,"Public Administration and Social
Service Professions, Other"
19.01,"Family and Consumer
Sciences/Human Sciences, General"
51.01,Chiropractic
51.33,"Alternative and Complementary
Medicine and Medical Systems"
30.1,Biopsychology
51.05,"Advanced/Graduate Dentistry and
Oral Sciences"
39.05,Religious Music and Worship
47.01,"Electrical/Electronics Maintenance
and Repair
Technologies/Technicians"
10.99,"Communications
Technologies/Technicians and
Support Services, Other"
41.03,"Physical Science
Technologies/Technicians"
41.02,"Nuclear and Industrial Radiologic
Technologies/Technicians"
11.06,"Data Entry/Microcomputer
Applications"
51.39,"Practical Nursing, Vocational
Nursing and Nursing Assistants"
43,"Homeland Security, Law
Enforcement, Firefighting and Related
Protective Services"
34,Health-Related Knowledge and Skills
60,"Health Professions
Residency/Fellowship Programs"
19.07,"Human Development, Family Studies,
and Related Services"
30.46,History and Political Science
47.01,"Electrical/Electronics Maintenance
and Repair Technologies/Technicians"
47.02,"Heating, Air Conditioning, Ventilation
and Refrigeration Maintenance
Technology/Technician (HAC, HACR,
HVAC, HVACR)"
47.03,"Heavy/Industrial Equipment
Maintenance
Technologies/Technicians"
51.09,"Allied Health Diagnostic, Intervention,
and Treatment Professions"
51.39,"Practical Nursing, Vocational Nursing
and Nursing Assistants"
16.99,"Foreign Languages, Literatures, and
Linguistics, Other"
34.01,Health-Related Knowledge and Skills
22.99,"Legal Professions and Studies, Other"
51.11,Health/Medical Preparatory Programs
48,"Precision Production Trades, General"
52.99,"Business, Management, Marketing,
and Related Support Services, Other"
39.07,"Pastoral Counseling and Specialized
Ministries"
14.28,Textile Sciences and Engineering
14.32,Polymer/Plastics Engineering
14.37,Operations Research
14.4,Paper Science and Engineering
13.06,"Educational Assessment, Evaluation,
and Research"
13.09,"Social and Philosophical Foundations
of Education"
30.05,"Peace Studies and Conflict
Resolution"
30.71,Data Analytics
60.01,"Dental Residency/Fellowship
Programs"
48.99,"Precision Production, Other"
23.14,Literature
43.99,"Homeland Security, Law
Enforcement, Firefighting and Related
Protective Services, Other"
1.07,International Agriculture
19.02,"Family and Consumer
Sciences/Human Sciences Business
Services"
26.14,Molecular Medicine
30.12,"Historic Preservation and
Conservation"
30.22,Classical and Ancient Studies
51.2,"Pharmacy, Pharmaceutical Sciences,
and Administration"
51.32,"Health Professions Education, Ethics,
and Humanities"
39.02,Bible/Biblical Studies
39.03,"Missions/Missionary Studies and
Missiology"
41,"Science Technologies/Technicians,
General"
14.24,Ocean Engineering
16.14,"Southeast Asian and
Australasian/Pacific Languages,
Literatures, and Linguistics"
1.05,"Agricultural and Domestic Animal
Services"
16.1,"American Indian/Native American
Languages, Literatures, and
Linguistics"
12.99,"Culinary, Entertainment, and Personal
Services, Other"
1.04,"Agricultural and Food Products
Processing"
12.06,Casino Operations and Services
14.06,Ceramic Sciences and Engineering
14.38,Surveying Engineering
31.99,"Parks, Recreation, Leisure, Fitness,
and Kinesiology, Other"
47,"Mechanics and Repairers, General"
12.03,"Funeral Service and Mortuary
Science"
21,Reserved
29,"Military Technologies and Applied
Sciences"
30.08,Mathematics and Computer Science
30.51,"Philosophy, Politics, and Economics"
39.04,Religious Education
39.06,Theological and Ministerial Studies
39.99,"Theology and Religious Vocations,
Other"
21.01,Reserved
30.27,Human Biology
30.06,Systems Science and Theory
13.07,"International and Comparative
Education"
14.48,Energy Systems Engineering
30.16,Accounting and Computer Science
29.02,"Intelligence, Command Control and
Information Operations"
48.08,Boilermaking/Boilermaker
19.99,"Family and Consumer Sciences/Human
Sciences, Other"
44.02,Community Organization and Advocacy
14.22,"Naval Architecture and Marine
Engineering"
9.99,"Communication, Journalism, and Related
Programs, Other"
10.99,"Communications
Technologies/Technicians and Support
Services, Other"
51.34,"Alternative and Complementary Medical
Support Services"
33,Citizenship Activities
51.34,"Alternative and Complementary
Medical Support Services"
51.37,"Energy and Biologically Based
Therapies"
50.02,"Crafts/Craft Design, Folk Art and
Artisanry"
5.99,"Area, Ethnic, Cultural, Gender, and
Group Studies, Other"
52.05,Business/Corporate Communications
30.32,Marine Sciences
33.01,Citizenship Activities
35,Interpersonal and Social Skills
35.01,Interpersonal and Social Skills
47.07,"Energy Systems Maintenance and
Repair Technologies/Technicians"
4,"Architecture and Related
Services"
3.02,"Environmental/Natural
Resources Management and
Policy"
11.99,"Computer and Information
Sciences and Support
Services, Other"
14.39,"Geological/Geophysical
Engineering"
16.03,"East Asian Languages,
Literatures, and Linguistics"
16.06,"Modern Greek Language and
Literature"
16.11,"Middle/Near Eastern and
Semitic Languages,
Literatures, and Linguistics"
26.99,"Biological and Biomedical
Sciences, Other"
30.13,"Medieval and Renaissance
Studies"
30.2,"International/Globalization
Studies"
44.99,"Public Administration and
Social Service Professions,
Other"
50.06,"Film/Video and Photographic
Arts"
50.1,"Arts, Entertainment, and
Media Management"
50.99,"Visual and Performing Arts,
Other"
51.27,"Medical Illustration and
Informatics"
9.1,Publishing
19.99,"Family and Consumer
Sciences/Human Sciences, Other"
51.36,"Movement and Mind-Body Therapies
and Education"
28,"Military Science, Leadership and
Operational Art"
25.99,"Library Science, Other"
28.03,"Army ROTC, Military Science and
Operations"
28.06,Security Policy and Strategy
30.28,Dispute Resolution
29.03,Military Applied Sciences
16.04,"Slavic, Baltic and Albanian Languages,
Literatures, and Linguistics"
16.11,"Middle/Near Eastern and Semitic
Languages, Literatures, and Linguistics"
47.03,"Heavy/Industrial Equipment
Maintenance Technologies/Technicians"
15.14,"Nuclear Engineering
Technology/Technician"
30.23,"Intercultural/Multicultural and Diversity
Studies"
38.99,"Philosophy and Religious Studies, Other"
45.05,Demography
36.02,Noncommercial Vehicle Operation
12.99,"Culinary, Entertainment, and
Personal Services, Other"
29.99,"Military Technologies and Applied
Sciences, Other"
61,"Medical Residency/Fellowship
Programs"
13.13,"Teacher Education and Professional
Development, Specific Subject
Areas"
61.2,"Physical Medicine and Rehabilitation
Residency/Fellowship Programs"
3.99,"Natural Resources and
Conservation, Other"
47.02,"Heating, Air Conditioning, Ventilation
and Refrigeration Maintenance
Technology/Technician (HAC,
HACR, HVAC, HVACR)"
14.34,Forest Engineering
14.47,Electrical and Computer Engineering
14.44,Engineering Chemistry
52.05,"Business/Corporate
Communications"
60.03,"Veterinary Residency/Fellowship
Programs"
19.1,Work and Family Studies
4.08,"Architectural History, Criticism, and
Conservation"
16.08,"Iranian/Persian Languages,
Literatures, and Linguistics"
16.15,"Turkic, Uralic-Altaic, Caucasian, and
Central Asian Languages, Literatures,
and Linguistics"
61.02,"Multiple-Pathway Medical Fellowship
Programs"
29.04,"Military Systems and Maintenance
Technology"
16.02,"African Languages, Literatures, and
Linguistics"
19.02,"Family and Consumer
Sciences/Human Sciences
Business Services"
28.05,"Military Science and Operational
Studies"
30.7,Data Science